ID,指标名称,日期,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量,
158,CZCE：PX：主力合约,2024/05/17,8394,8460,8388,8446,8426,66210,115845,
159,CZCE：PX：主力合约,2024/05/20,8470,8554,8444,8540,8504,62214,106210,
160,CZCE：PX：主力合约,2024/05/21,8520,8584,8480,8502,8530,68183,96583,
161,CZCE：PX：主力合约,2024/05/22,8476,8540,8470,8496,8506,38835,96036,
162,CZCE：PX：主力合约,2024/05/23,8502,8530,8424,8458,8478,46887,97618,
163,CZCE：PX：主力合约,2024/05/24,8486,8538,8480,8524,8518,50676,98683,
164,CZCE：PX：主力合约,2024/05/27,8532,8614,8528,8600,8584,80346,102002,
165,CZCE：PX：主力合约,2024/05/28,8600,8630,8544,8550,8586,54618,95428,
166,CZCE：PX：主力合约,2024/05/29,8560,8618,8538,8604,8584,46524,92163,
167,CZCE：PX：主力合约,2024/05/30,8596,8746,8586,8702,8672,140763,93818,
168,CZCE：PX：主力合约,2024/05/31,8690,8706,8608,8638,8662,77279,92773,
169,CZCE：PX：主力合约,2024/06/03,8670,8676,8502,8524,8568,72594,87380,
170,CZCE：PX：主力合约,2024/06/04,8526,8546,8394,8440,8454,76699,90993,
171,CZCE：PX：主力合约,2024/06/05,8432,8488,8414,8440,8446,61727,94731,
172,CZCE：PX：主力合约,2024/06/06,8476,8478,8422,8440,8448,49713,95805,
173,CZCE：PX：主力合约,2024/06/07,8440,8524,8420,8500,8482,58955,97722,
174,CZCE：PX：主力合约,2024/06/11,8550,8580,8504,8580,8544,49261,96582,
175,CZCE：PX：主力合约,2024/06/12,8572,8614,8554,8600,8588,52238,91788,
176,CZCE：PX：主力合约,2024/06/13,8622,8638,8540,8560,8584,52737,87781,
177,CZCE：PX：主力合约,2024/06/14,8572,8598,8536,8554,8572,42641,86401,
178,CZCE：PX：主力合约,2024/06/17,8566,8578,8438,8448,8494,63019,89343,
179,CZCE：PX：主力合约,2024/06/18,8470,8542,8456,8462,8494,42040,85893,
180,CZCE：PX：主力合约,2024/06/19,8470,8592,8470,8556,8542,52331,85295,
181,CZCE：PX：主力合约,2024/06/20,8570,8598,8534,8578,8568,41276,85565,
182,CZCE：PX：主力合约,2024/06/21,8588,8618,8538,8540,8578,49772,85445,
183,CZCE：PX：主力合约,2024/06/24,8540,8590,8506,8580,8548,50598,82760,
184,CZCE：PX：主力合约,2024/06/25,8580,8658,8542,8648,8598,70637,84682,
185,CZCE：PX：主力合约,2024/06/26,8642,8660,8528,8602,8580,66975,80181,
186,CZCE：PX：主力合约,2024/06/27,8602,8606,8556,8594,8584,37243,80046,
187,CZCE：PX：主力合约,2024/06/28,8610,8682,8596,8654,8644,59918,84707,
188,CZCE：PX：主力合约,2024/07/01,8656,8674,8606,8646,8628,35420,83797,
189,CZCE：PX：主力合约,2024/07/02,8646,8668,8598,8652,8636,43231,85083,
190,CZCE：PX：主力合约,2024/07/03,8674,8770,8652,8768,8712,93418,92838,
191,CZCE：PX：主力合约,2024/07/04,8748,8774,8654,8662,8722,84089,85742,
192,CZCE：PX：主力合约,2024/07/05,8654,8692,8580,8582,8626,60936,79290,
193,CZCE：PX：主力合约,2024/07/08,8620,8628,8548,8558,8578,46219,77259,
194,CZCE：PX：主力合约,2024/07/09,8562,8564,8504,8526,8530,37371,76809,
195,CZCE：PX：主力合约,2024/07/10,8526,8540,8468,8482,8500,39330,74085,
196,CZCE：PX：主力合约,2024/07/11,8490,8550,8488,8544,8524,31737,73450,
197,CZCE：PX：主力合约,2024/07/12,8530,8538,8488,8512,8512,33425,75730,
198,CZCE：PX：主力合约,2024/07/15,8500,8512,8412,8422,8448,51264,79886,
199,CZCE：PX：主力合约,2024/07/16,8422,8436,8378,8390,8404,45057,84479,
200,CZCE：PX：主力合约,2024/07/17,8372,8428,8356,8394,8398,41610,83140,
201,CZCE：PX：主力合约,2024/07/18,8406,8442,8384,8432,8412,43869,85709,
202,CZCE：PX：主力合约,2024/07/19,8408,8430,8394,8404,8410,28483,84013,
203,CZCE：PX：主力合约,2024/07/22,8416,8430,8352,8380,8384,39583,82530,
204,CZCE：PX：主力合约,2024/07/23,8362,8390,8342,8352,8362,34841,81682,
205,CZCE：PX：主力合约,2024/07/24,8344,8350,8280,8328,8314,51332,82394,
206,CZCE：PX：主力合约,2024/07/25,8350,8354,8238,8240,8286,39327,83066,
207,CZCE：PX：主力合约,2024/07/26,8230,8330,8190,8316,8266,56285,79952,
208,CZCE：PX：主力合约,2024/07/29,8304,8320,8250,8290,8288,71180,82013,
209,CZCE：PX：主力合约,2024/07/30,8300,8300,8172,8196,8232,47138,78140,
210,CZCE：PX：主力合约,2024/07/31,8192,8336,8176,8320,8254,52437,71097,
211,CZCE：PX：主力合约,2024/08/01,8340,8396,8314,8378,8362,48893,70638,
212,CZCE：PX：主力合约,2024/08/02,8372,8386,8302,8302,8348,37613,68123,
213,CZCE：PX：主力合约,2024/08/05,8250,8278,8120,8136,8196,59510,72016,
214,CZCE：PX：主力合约,2024/08/06,8050,8162,8050,8066,8110,50318,67704,
215,CZCE：PX：主力合约,2024/08/07,8036,8076,7968,8060,8030,59147,63692,
216,CZCE：PX：主力合约,2024/08/08,8092,8130,8012,8036,8058,32197,63494,
217,CZCE：PX：主力合约,2024/08/09,8040,8056,7892,7980,7966,74322,60666,
218,CZCE：PX：主力合约,2024/08/12,7980,8066,7954,8062,8006,39694,58008,
219,CZCE：PX：主力合约,2024/08/13,8078,8124,8042,8084,8080,32364,52549,
220,CZCE：PX：主力合约,2024/08/14,8080,8080,7976,8002,8028,39343,48320,
221,CZCE：PX：主力合约,2024/08/15,8002,8006,7660,7906,7826,121731,35959,
222,CZCE：PX：主力合约,2024/08/16,7916,7986,7862,7910,7936,41853,31428,
223,CZCE：PX：主力合约,2024/08/19,7900,7940,7714,7730,7832,94738,81152,
224,CZCE：PX：主力合约,2024/08/20,7720,7784,7654,7734,7716,122456,84426,
225,CZCE：PX：主力合约,2024/08/21,7750,7804,7696,7780,7754,87044,86792,
226,CZCE：PX：主力合约,2024/08/22,7790,7810,7640,7656,7730,91206,93490,
227,CZCE：PX：主力合约,2024/08/23,7670,7720,7610,7682,7670,84714,92004,
228,CZCE：PX：主力合约,2024/08/26,7720,7842,7698,7834,7766,80837,79955,
229,CZCE：PX：主力合约,2024/08/27,7866,7910,7802,7854,7850,64351,78827,
230,CZCE：PX：主力合约,2024/08/28,7846,7846,7726,7750,7778,74597,85349,
231,CZCE：PX：主力合约,2024/08/29,7714,7770,7690,7740,7732,66809,87032,
232,CZCE：PX：主力合约,2024/08/30,7742,7800,7720,7736,7760,69125,86483,
233,CZCE：PX：主力合约,2024/09/02,7730,7738,7380,7384,7544,145436,112505,
234,CZCE：PX：主力合约,2024/09/03,7388,7470,7360,7424,7416,87060,107521,
235,CZCE：PX：主力合约,2024/09/04,7350,7386,7202,7304,7286,122049,108660,
236,CZCE：PX：主力合约,2024/09/05,7318,7344,7146,7160,7252,98790,111443,
237,CZCE：PX：主力合约,2024/09/06,7182,7282,7038,7168,7154,171295,114988,
238,CZCE：PX：主力合约,2024/09/09,7160,7190,6886,7010,7040,157213,116981,
239,CZCE：PX：主力合约,2024/09/10,6988,7012,6718,6734,6890,167359,128178,
240,CZCE：PX：主力合约,2024/09/11,6734,6888,6572,6880,6706,254834,112334,
241,CZCE：PX：主力合约,2024/09/12,6888,6964,6712,6940,6842,189409,109857,
242,CZCE：PX：主力合约,2024/09/13,6922,7060,6894,6940,6958,141571,106464,
243,CZCE：PX：主力合约,2024/09/18,7016,7020,6740,6762,6824,113962,112710,
244,CZCE：PX：主力合约,2024/09/19,6772,6944,6650,6922,6784,235612,117758,
245,CZCE：PX：主力合约,2024/09/20,6950,6966,6848,6918,6908,142097,115752,
246,CZCE：PX：主力合约,2024/09/23,6908,6916,6776,6824,6846,157677,110461,
247,CZCE：PX：主力合约,2024/09/24,6812,7032,6780,7012,6900,167998,108736,
248,CZCE：PX：主力合约,2024/09/25,7024,7210,7000,7010,7092,171227,105744,
249,CZCE：PX：主力合约,2024/09/26,6978,7062,6866,6968,6982,181877,99092,
250,CZCE：PX：主力合约,2024/09/27,6970,7160,6954,7118,7028,145635,95110,
251,CZCE：PX：主力合约,2024/09/30,7100,7490,7060,7398,7294,167387,85991,
252,CZCE：PX：主力合约,2024/10/08,7800,7812,7540,7582,7662,138103,85817,
253,CZCE：PX：主力合约,2024/10/09,7574,7590,7404,7430,7474,135145,86716,
254,CZCE：PX：主力合约,2024/10/10,7400,7450,7282,7382,7364,129494,90524,
255,CZCE：PX：主力合约,2024/10/11,7422,7488,7354,7396,7420,116494,96564,
256,CZCE：PX：主力合约,2024/10/14,7396,7480,7314,7340,7390,113891,93197,
257,CZCE：PX：主力合约,2024/10/15,7330,7368,7134,7142,7228,112511,100477,
258,CZCE：PX：主力合约,2024/10/16,7156,7178,7056,7058,7128,99974,103224,
259,CZCE：PX：主力合约,2024/10/17,7058,7104,6940,6940,7040,108943,101379,
260,CZCE：PX：主力合约,2024/10/18,6952,7078,6950,7062,7016,79928,99495,
261,CZCE：PX：主力合约,2024/10/21,7040,7046,6932,6998,6974,78099,101203,
262,CZCE：PX：主力合约,2024/10/22,7010,7128,7008,7070,7076,96131,103798,
263,CZCE：PX：主力合约,2024/10/23,7080,7206,7066,7102,7124,98869,104269,
264,CZCE：PX：主力合约,2024/10/24,7080,7132,7028,7082,7086,77041,101929,
265,CZCE：PX：主力合约,2024/10/25,7060,7146,6976,7064,7042,122991,105673,
266,CZCE：PX：主力合约,2024/10/28,7090,7100,6922,7016,6998,120194,105417,
267,CZCE：PX：主力合约,2024/10/29,6970,6986,6800,6830,6892,135661,114265,
268,CZCE：PX：主力合约,2024/10/30,6876,6906,6772,6842,6840,104220,118974,
269,CZCE：PX：主力合约,2024/10/31,6862,6910,6826,6882,6864,67302,116897,
270,CZCE：PX：主力合约,2024/11/01,6886,6982,6862,6902,6916,92809,113179,
271,CZCE：PX：主力合约,2024/11/04,6910,6938,6850,6914,6892,68302,112246,
272,CZCE：PX：主力合约,2024/11/05,6930,7008,6906,6938,6944,72592,110879,
273,CZCE：PX：主力合约,2024/11/06,6950,7002,6762,6772,6900,117820,114845,
274,CZCE：PX：主力合约,2024/11/07,6772,6936,6712,6922,6828,120679,112933,
275,CZCE：PX：主力合约,2024/11/08,6890,7050,6872,6924,6960,118686,111704,
276,CZCE：PX：主力合约,2024/11/11,6892,6932,6730,6848,6828,115676,112650,
277,CZCE：PX：主力合约,2024/11/12,6788,6834,6760,6774,6796,77115,115856,
278,CZCE：PX：主力合约,2024/11/13,6790,6830,6752,6800,6794,85802,116044,
279,CZCE：PX：主力合约,2024/11/14,6816,6816,6690,6698,6742,106163,124367,
280,CZCE：PX：主力合约,2024/11/15,6726,6776,6612,6614,6696,96118,126723,
281,CZCE：PX：主力合约,2024/11/18,6640,6704,6588,6672,6650,81148,122426,
282,CZCE：PX：主力合约,2024/11/19,6676,6796,6642,6764,6742,112827,113221,
283,CZCE：PX：主力合约,2024/11/20,6762,6846,6722,6828,6798,95313,109081,
284,CZCE：PX：主力合约,2024/11/21,6832,6952,6780,6840,6872,165334,105967,
285,CZCE：PX：主力合约,2024/11/22,6872,6912,6828,6854,6870,90973,102269,
286,CZCE：PX：主力合约,2024/11/25,6838,6924,6720,6804,6808,139310,97694,
287,CZCE：PX：主力合约,2024/11/26,6808,6816,6722,6758,6766,78614,95330,
288,CZCE：PX：主力合约,2024/11/27,6774,6808,6730,6794,6764,102115,94850,
289,CZCE：PX：主力合约,2024/11/28,6796,6828,6694,6698,6754,101120,97197,
290,CZCE：PX：主力合约,2024/11/29,6718,6738,6650,6718,6698,86511,95454,
291,CZCE：PX：主力合约,2024/12/02,6736,6742,6622,6686,6674,80385,90409,
292,CZCE：PX：主力合约,2024/12/03,6692,6736,6658,6696,6692,61055,89091,
293,CZCE：PX：主力合约,2024/12/04,6730,6808,6700,6774,6758,113149,85527,
294,CZCE：PX：主力合约,2024/12/05,6772,6808,6606,6638,6706,117155,84208,
295,CZCE：PX：主力合约,2024/12/06,6630,6642,6480,6590,6568,143082,82022,
296,CZCE：PX：主力合约,2024/12/09,6586,6620,6492,6520,6544,93977,83665,
297,CZCE：PX：主力合约,2024/12/10,6578,6704,6542,6594,6640,117944,75808,
298,CZCE：PX：主力合约,2024/12/11,6614,6682,6604,6668,6644,59215,72299,
299,CZCE：PX：主力合约,2024/12/12,6700,6758,6660,6708,6710,88073,66414,
300,CZCE：PX：主力合约,2024/12/13,6706,6754,6682,6710,6712,71324,58492,
301,CZCE：PX：主力合约,2024/12/16,6714,6908,6678,6868,6820,104540,51885,
302,CZCE：PX：主力合约,2024/12/17,6830,6890,6814,6846,6852,56414,44043,
303,CZCE：PX：主力合约,2024/12/18,6834,6882,6800,6832,6840,42558,40241,
304,CZCE：PX：主力合约,2024/12/19,6832,6840,6764,6794,6800,44144,34441,
305,CZCE：PX：主力合约,2024/12/20,7018,7074,6960,6998,7008,70036,69634,
306,CZCE：PX：主力合约,2024/12/23,7008,7070,6948,7050,7006,81174,73289,
307,CZCE：PX：主力合约,2024/12/24,7036,7074,6982,7038,7026,69000,74564,
308,CZCE：PX：主力合约,2024/12/25,7054,7084,7014,7022,7042,64585,74332,
309,CZCE：PX：主力合约,2024/12/26,7030,7030,6922,6930,6958,88239,84823,
310,CZCE：PX：主力合约,2024/12/27,6956,6990,6850,6852,6910,97752,90374,
311,CZCE：PX：主力合约,2024/12/30,6890,6936,6860,6926,6904,75845,94277,
312,CZCE：PX：主力合约,2024/12/31,6948,7026,6910,6992,6962,83619,95526,
313,CZCE：PX：主力合约,2025/01/02,7000,7124,6992,7082,7072,107336,93369,
314,CZCE：PX：主力合约,2025/01/03,7082,7144,7058,7086,7090,95625,92775,
315,CZCE：PX：主力合约,2025/01/06,7086,7250,7032,7114,7150,155762,96590,
316,CZCE：PX：主力合约,2025/01/07,7138,7164,6972,6998,7060,129527,97198,
