指标名称,美国:CPI:同比,美国:PPI:最终需求:同比:季调,欧元区:HICP(调和CPI):当月同比,欧元区20国:PPI:当月同比,中国:制造业PMI,中国:工业企业:利润总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:房地产开发投资完成额:累计同比,美国:拖欠率:信用卡消费贷款:所有商业银行:季调,美国:拖欠率:房地产贷款:所有商业银行:季调,中国:零售渗透率:新能源乘用车,中国:社会融资规模:当月值,中国:M1:同比,中国:M2:同比
2022/02,7.90 ,10.50 ,5.90 ,29.80 ,50.20 ,0.00 ,0.90 ,8.80 ,3.70 ,0.00 ,0.00 ,0.00 ,"12,170.00 ",4.70 ,9.20 
2022/03,8.50 ,11.60 ,7.40 ,34.80 ,49.50 ,0.00 ,1.50 ,8.30 ,0.70 ,1.69 ,1.40 ,0.00 ,"46,565.00 ",4.70 ,9.70 
2022/04,8.30 ,11.00 ,7.40 ,35.30 ,47.40 ,-8.50 ,2.10 ,8.00 ,-2.70 ,0.00 ,0.00 ,0.00 ,"9,327.00 ",5.10 ,10.50 
2022/05,8.60 ,11.00 ,8.10 ,34.50 ,49.60 ,-6.50 ,2.10 ,6.40 ,-4.00 ,0.00 ,0.00 ,0.00 ,"28,415.00 ",4.60 ,11.10 
2022/06,9.10 ,11.10 ,8.60 ,34.40 ,50.20 ,0.80 ,2.50 ,6.10 ,-5.40 ,1.83 ,1.32 ,0.00 ,"51,926.00 ",5.80 ,11.40 
2022/07,8.50 ,9.70 ,8.90 ,36.10 ,49.00 ,0.00 ,2.70 ,4.20 ,-6.40 ,0.00 ,0.00 ,0.00 ,"7,785.00 ",6.70 ,12.00 
2022/08,8.30 ,8.70 ,9.10 ,40.10 ,49.40 ,0.00 ,2.50 ,2.30 ,-7.40 ,0.00 ,0.00 ,0.00 ,"24,712.00 ",6.10 ,12.20 
2022/09,8.20 ,8.50 ,9.90 ,39.00 ,50.10 ,0.00 ,2.80 ,0.90 ,-8.00 ,2.05 ,1.21 ,0.00 ,"35,411.00 ",6.40 ,12.10 
2022/10,7.70 ,8.20 ,10.60 ,29.70 ,49.20 ,0.00 ,2.10 ,-1.30 ,-8.80 ,0.00 ,0.00 ,0.00 ,"9,134.00 ",5.80 ,11.80 
2022/11,7.10 ,7.40 ,10.10 ,26.60 ,48.00 ,0.00 ,1.60 ,-1.30 ,-9.80 ,0.00 ,0.00 ,0.00 ,"19,837.00 ",4.60 ,12.40 
2022/12,6.50 ,6.40 ,9.20 ,24.50 ,47.00 ,0.00 ,1.80 ,-0.70 ,-10.00 ,2.26 ,1.21 ,27.60 ,"13,063.00 ",3.70 ,11.80 
2023/01,6.40 ,5.80 ,8.60 ,14.60 ,50.10 ,0.00 ,2.10 ,-0.80 ,0.00 ,0.00 ,0.00 ,0.00 ,"59,956.00 ",6.70 ,12.60 
2023/02,6.00 ,4.70 ,8.50 ,12.80 ,52.60 ,0.00 ,1.00 ,-1.40 ,-5.70 ,0.00 ,0.00 ,0.00 ,"31,610.00 ",5.80 ,12.90 
2023/03,5.00 ,2.70 ,6.90 ,6.20 ,51.90 ,-19.20 ,0.70 ,-2.50 ,-5.80 ,2.47 ,1.23 ,0.00 ,"53,867.00 ",5.10 ,12.70 
2023/04,4.90 ,2.30 ,7.00 ,1.50 ,49.20 ,-18.20 ,0.10 ,-3.60 ,-6.20 ,0.00 ,0.00 ,0.00 ,"12,249.00 ",5.30 ,12.40 
2023/05,4.00 ,1.20 ,6.10 ,-0.90 ,48.80 ,-12.60 ,0.20 ,-4.60 ,-7.20 ,0.00 ,0.00 ,0.00 ,"15,560.00 ",4.70 ,11.60 
2023/06,3.00 ,0.30 ,5.50 ,-2.50 ,49.00 ,-8.30 ,0.00 ,-5.40 ,-7.90 ,2.75 ,1.26 ,0.00 ,"42,265.00 ",3.10 ,11.30 
2023/07,3.20 ,1.20 ,5.30 ,-6.30 ,49.30 ,-6.70 ,-0.30 ,-4.40 ,-8.50 ,0.00 ,0.00 ,0.00 ,"5,366.00 ",2.30 ,10.70 
2023/08,3.70 ,1.90 ,5.20 ,-9.20 ,49.70 ,17.20 ,0.10 ,-3.00 ,-8.80 ,0.00 ,0.00 ,0.00 ,"31,279.00 ",2.20 ,10.60 
2023/09,3.70 ,1.80 ,4.30 ,-10.00 ,50.20 ,11.90 ,0.00 ,-2.50 ,-9.10 ,2.94 ,1.38 ,0.00 ,"41,326.00 ",2.10 ,10.30 
2023/10,3.20 ,1.10 ,2.90 ,-8.10 ,49.50 ,2.70 ,-0.20 ,-2.60 ,-9.30 ,0.00 ,0.00 ,0.00 ,"18,441.00 ",1.90 ,10.30 
2023/11,3.10 ,0.80 ,2.40 ,-7.80 ,49.40 ,29.50 ,-0.50 ,-3.00 ,-9.40 ,0.00 ,0.00 ,0.00 ,"24,554.00 ",1.30 ,10.00 
2023/12,3.40 ,1.10 ,2.90 ,-9.30 ,49.00 ,16.80 ,-0.30 ,-2.70 ,-9.60 ,3.10 ,1.40 ,35.70 ,"19,326.00 ",1.30 ,9.70 
2024/01,3.10 ,1.00 ,2.80 ,-7.80 ,49.20 ,0.00 ,-0.80 ,-2.50 ,0.00 ,0.00 ,0.00 ,0.00 ,"64,734.00 ",3.30 ,8.70 
2024/02,3.20 ,1.60 ,2.60 ,-8.20 ,49.10 ,0.00 ,0.70 ,-2.70 ,-9.00 ,0.00 ,0.00 ,0.00 ,"14,959.00 ",2.60 ,8.70 
2024/03,3.50 ,2.00 ,2.40 ,-7.70 ,50.80 ,-3.50 ,0.10 ,-2.80 ,-9.50 ,3.17 ,1.45 ,0.00 ,"48,335.00 ",2.30 ,8.30 
2024/04,3.40 ,2.30 ,2.40 ,-5.70 ,50.40 ,4.00 ,0.30 ,-2.50 ,-9.80 ,0.00 ,0.00 ,0.00 ,-658.00 ,0.60 ,7.20 
2024/05,3.30 ,2.60 ,2.60 ,-4.20 ,49.50 ,0.70 ,0.30 ,-1.40 ,-10.10 ,0.00 ,0.00 ,0.00 ,"20,623.00 ",-0.80 ,7.00 
2024/06,3.00 ,3.00 ,2.50 ,-3.40 ,49.50 ,3.60 ,0.20 ,-0.80 ,-10.10 ,3.24 ,1.56 ,0.00 ,"32,985.00 ",-1.70 ,6.20 
2024/07,2.90 ,2.40 ,2.60 ,-2.10 ,49.40 ,4.10 ,0.50 ,-0.80 ,-10.20 ,0.00 ,0.00 ,0.00 ,"7,707.00 ",-2.60 ,6.30 
2024/08,2.50 ,2.10 ,2.20 ,-2.30 ,49.10 ,-17.80 ,0.60 ,-1.80 ,-10.20 ,0.00 ,0.00 ,0.00 ,"30,323.00 ",-3.00 ,6.30 
2024/09,2.40 ,2.10 ,1.70 ,-3.50 ,49.80 ,-27.10 ,0.40 ,-2.80 ,-10.10 ,3.20 ,1.60 ,0.00 ,"37,635.00 ",-3.30 ,6.80 
2024/10,2.60 ,2.80 ,2.00 ,-3.30 ,50.10 ,-10.00 ,0.30 ,-2.90 ,-10.30 ,0.00 ,0.00 ,0.00 ,"14,120.00 ",-2.30 ,7.50 
2024/11,2.70 ,2.90 ,2.20 ,-1.20 ,50.30 ,-7.30 ,0.20 ,-2.50 ,-10.40 ,0.00 ,0.00 ,0.00 ,"23,288.00 ",-0.70 ,7.10 
2024/12,2.90 ,3.50 ,2.40 ,0.00 ,50.10 ,11.00 ,0.10 ,-2.30 ,-10.60 ,3.08 ,1.64 ,47.60 ,"28,507.00 ",1.20 ,7.30 
2025/01,3.00 ,3.80 ,2.50 ,1.70 ,49.10 ,0.00 ,0.50 ,-2.30 ,0.00 ,0.00 ,0.00 ,0.00 ,"70,546.00 ",0.40 ,7.00 
2025/02,2.80 ,3.40 ,2.30 ,3.10 ,50.20 ,0.00 ,-0.70 ,-2.20 ,-9.80 ,0.00 ,0.00 ,0.00 ,"22,331.00 ",0.10 ,7.00 
2025/03,2.40 ,3.20 ,2.20 ,1.90 ,50.50 ,2.60 ,-0.10 ,-2.50 ,-9.90 ,3.05 ,1.69 ,0.00 ,"58,961.00 ",1.60 ,7.00 
2025/04,2.30 ,2.40 ,2.20 ,0.70 ,49.00 ,3.00 ,-0.10 ,-2.70 ,-10.30 ,0.00 ,0.00 ,0.00 ,"11,599.00 ",1.50 ,8.00 
2025/05,2.40 ,2.80 ,1.90 ,0.30 ,49.50 ,-9.10 ,-0.10 ,-3.30 ,-10.70 ,0.00 ,0.00 ,0.00 ,"22,870.00 ",2.30 ,7.90 
2025/06,2.70 ,2.40 ,2.00 ,0.60 ,49.70 ,-4.30 ,0.10 ,-3.60 ,-11.20 ,0.00 ,0.00 ,0.00 ,"41,993.00 ",4.60 ,8.30 
2025/07,2.70 ,3.30 ,2.00 ,0.00 ,49.30 ,0.00 ,0.00 ,-3.60 ,-12.00 ,0.00 ,0.00 ,0.00 ,"11,320.00 ",5.60 ,8.80 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
