指标名称,石脑油：国际市场：CFR价：日本（日）,石脑油：产量：中国（周）,石脑油：产量：中国（月）,石脑油：商业库存：新加坡（周）,石脑油：表观消费量：中国（月）,石脑油：重整装置：产能利用率：中国（周）,石脑油：进口数量合计：中国（月）,石脑油：出口数量合计：中国（月）
2002/02/22,196.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/26,197,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/27,203.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/02/28,210.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/01,207.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/04,212.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/05,216.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/06,228.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/07,233.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/08,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/11,240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/12,234.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/13,238.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/14,232.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/15,244.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/18,237.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/19,246.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/20,245.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/22,242.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/25,238.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/26,232.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/27,243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/03/28,244.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/01,256.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/02,253.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/03,253.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/04,257.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/05,254.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/08,254.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/09,253.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/10,254.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/11,248.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/12,242.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/15,239.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/16,236.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/17,245.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/18,246,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002/04/29,241.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/03/31,268,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/01,253.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/02,245.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/03,244.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/04,243.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/07,234.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/08,243.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/09,245.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/10,246.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/11,245.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/15,242.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/16,238.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/17,243.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/21,244.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/22,245.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/23,238.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/24,231.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/25,231.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/28,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/04/29,219.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/05,213.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/06,218.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/07,215.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/08,222.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/09,229.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/12,229.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/13,226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/14,236.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/15,236.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/16,234.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/19,249.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/20,240.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/21,241.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/22,243.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/23,245.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/26,244.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/27,245.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/28,240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/29,232.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/05/30,241.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/02,246.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/03,253,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/04,252.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/06,248.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/09,265.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/10,262.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/11,264.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/12,265.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/13,256.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/16,252.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/17,252.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/18,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/19,245.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/20,254.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/23,260.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/24,256.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/25,256.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/26,265.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/27,260.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/06/30,262.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/01,264.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/02,265.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/03,264.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/04,261.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/07,265.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/08,262.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/09,270.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/10,274.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/11,275.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/14,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/15,279.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/16,275.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/17,272.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/18,270.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/21,274.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/22,269.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/23,266.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/24,266.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/25,265.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/28,266.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/29,267.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/30,271.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/07/31,267.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/08/01,272.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003/08/04,283.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
