指标名称,涤纶短纤：1.56*38mm半光本白：市场价：中国（日）,涤纶短纤：1.56*38mm水刺型：市场价：江苏（日）,涤纶短纤：4D*51mm低熔点：市场价：华东地区（日）,涤纶短纤：原生中空7D加硅：市场价：华东地区（日）,涤纶短纤：1.56*38mm半光本白：基差：中国（日）,聚酯纤维短纤：产量：中国（周）,聚酯纤维短纤：产量：中国（月）,聚酯纤维短纤：产能利用率：中国（周）,聚酯纤维短纤：产能利用率：中国（月）,聚酯纤维短纤：损失量：中国（月）,聚酯纤维短纤：厂内权益库存可用天数：中国（周）,聚酯纤维短纤：生产企业：物理库存天数：中国（周）,聚酯纤维短纤：表观消费量：中国（月）,聚酯纤维短纤：产销率：中国（日）,聚酯纤维短纤：生产毛利：中国（日）,未梳的聚酯短纤（包括未经其他纺前加工的）：进口数量合计：全球→中国（月）,未梳的聚酯短纤（包括未经其他纺前加工的）：出口数量合计：中国→全球（月）
2009/04/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/04/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/04/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/04/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/05/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/05/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/05/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/05/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/05/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/05/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/06/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/06/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/06/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/06/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/06/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/07/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/07/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/07/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/07/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/07/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.5,65.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/08/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/08/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/08/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/08/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/08/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/09/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/09/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/09/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/09/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/09/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/10/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/10/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/10/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/10/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/10/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/10/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/11/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/11/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/11/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/11/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/11/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/12/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/12/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/12/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/12/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009/12/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010/01/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010/01/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-749.75,#N/A,#N/A
2010/01/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-750.25,#N/A,#N/A
2010/01/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-750.25,#N/A,#N/A
2010/01/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-733.5,#N/A,#N/A
2010/01/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-663.75,#N/A,#N/A
2010/01/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-750.25,#N/A,#N/A
2010/01/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-793.5,#N/A,#N/A
2010/01/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-802,#N/A,#N/A
2010/01/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-727.25,#N/A,#N/A
2010/01/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-821,#N/A,#N/A
2010/01/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-831.25,#N/A,#N/A
2010/01/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-758,#N/A,#N/A
2010/01/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-497.75,#N/A,#N/A
2010/01/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-377.75,#N/A,#N/A
2010/01/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-277.5,#N/A,#N/A
2010/01/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-160.75,#N/A,#N/A
2010/01/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-100.75,#N/A,#N/A
2010/01/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-24,#N/A,#N/A
2010/01/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172.75,#N/A,#N/A
2010/01/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,122.75,#N/A,#N/A
2010/01/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38658000
2010/02/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A
2010/02/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-54,#N/A,#N/A
2010/02/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-207.5,#N/A,#N/A
2010/02/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-250.75,#N/A,#N/A
2010/02/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-147.5,#N/A,#N/A
2010/02/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-147.5,#N/A,#N/A
2010/02/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-114,#N/A,#N/A
2010/02/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-157.25,#N/A,#N/A
2010/02/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010/02/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010/02/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-200.5,#N/A,#N/A
2010/02/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-150.5,#N/A,#N/A
2010/02/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-450.5,#N/A,#N/A
2010/02/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-424,#N/A,#N/A
2010/02/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-433.75,#N/A,#N/A
2010/02/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-417,#N/A,#N/A
2010/02/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-253.75,#N/A,#N/A
2010/02/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27689000
2010/03/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-287,#N/A,#N/A
2010/03/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-217,#N/A,#N/A
2010/03/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-150,#N/A,#N/A
2010/03/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-30,#N/A,#N/A
2010/03/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.5,#N/A,#N/A
2010/03/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-99.75,#N/A,#N/A
2010/03/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-219.75,#N/A,#N/A
2010/03/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-186.25,#N/A,#N/A
2010/03/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-109.5,#N/A,#N/A
2010/03/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-99.5,#N/A,#N/A
2010/03/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-114.5,#N/A,#N/A
2010/03/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,82.25,#N/A,#N/A
2010/03/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-139.5,#N/A,#N/A
2010/03/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-233,#N/A,#N/A
2010/03/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-182.75,#N/A,#N/A
2010/03/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-166,#N/A,#N/A
2010/03/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-182.75,#N/A,#N/A
2010/03/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-122.75,#N/A,#N/A
2010/03/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-132.75,#N/A,#N/A
2010/03/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-192.75,#N/A,#N/A
2010/03/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-236,#N/A,#N/A
2010/03/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-262.75,#N/A,#N/A
2010/03/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54,#N/A,#N/A,#N/A,#N/A,#N/A,-262.75,#N/A,45328000
2010/04/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-296,#N/A,#N/A
2010/04/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-296,#N/A,#N/A
2010/04/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-306,#N/A,#N/A
2010/04/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-273,#N/A,#N/A
2010/04/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-173,#N/A,#N/A
2010/04/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-156.25,#N/A,#N/A
2010/04/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-182.75,#N/A,#N/A
2010/04/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-116,#N/A,#N/A
2010/04/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94,#N/A,#N/A
2010/04/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.5,#N/A,#N/A
2010/04/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.75,#N/A,#N/A
2010/04/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,170.75,#N/A,#N/A
2010/04/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,221,#N/A,#N/A
2010/04/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,221,#N/A,#N/A
2010/04/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A
2010/04/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,154.25,#N/A,#N/A
2010/04/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,111,#N/A,#N/A
2010/04/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,193.63,#N/A,#N/A
2010/04/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,181,#N/A,#N/A
2010/04/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164.5,#N/A,#N/A
