指标名称,LLDPE：薄膜料：7042：自提价：临沂：吉林石化（日）,隆众：LLDPE：产量：中国（月）,LLDPE：产量：中国（日）,LLDPE：检修损失量：中国（月）,LLDPE：检修损失量：中国（周）,LLDPE：生产企业：权益库存：中国（周）,LLDPE：社会库存：中国（周）,LLDPE：表观消费量：中国（月）,初级形状的线型低密度聚乙烯，比重＜0.94：进口数量合计：全球→中国（月）,初级形状的线型低密度聚乙烯，比重＜0.94：出口数量合计：中国→全球（月）,LLDPE：甲醇制：生产成本：中国（周）,LLDPE：甲醇制：生产毛利：中国（周）,LLDPE：煤制：生产成本：中国（周）,LLDPE：煤制：生产毛利：中国（周）,LLDPE：乙烯制：生产成本：中国（周）,LLDPE：油制：生产成本：中国（周）,LLDPE：油制：生产毛利：中国（周）,LLDPE：乙烯制：生产毛利：中国（月）
2025/7/3,7300,#N/A,3.936,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/7/2,7250,#N/A,3.924,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/7/1,7250,#N/A,3.929,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/30,7300,116.306,4.035,14.682,#N/A,#N/A,#N/A,150.2278,367353017,28135282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-238.3333
2025/6/29,#N/A,#N/A,3.955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/28,#N/A,#N/A,3.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/27,7300,#N/A,3.968,#N/A,4.794,16.41,14.55,#N/A,#N/A,#N/A,7985.7143,-562.8571,5856,1566.8571,7645.7143,7983,-461.5714,#N/A
2025/6/26,7300,#N/A,3.968,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/25,7350,#N/A,3.944,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/24,7400,#N/A,3.748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/23,7500,#N/A,3.704,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/22,#N/A,#N/A,3.628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/21,#N/A,#N/A,3.628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/20,7470,#N/A,3.711,#N/A,3.204,17.98,17.03,#N/A,#N/A,#N/A,7700.7143,-369.2857,5848,1483.4286,7402.8571,8252,-902,#N/A
2025/6/19,7400,#N/A,3.755,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/18,7380,#N/A,3.784,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/17,7350,#N/A,3.753,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/16,7300,#N/A,4.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/15,#N/A,#N/A,4.11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/14,#N/A,#N/A,4.115,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/13,7250,#N/A,4.113,#N/A,2.619,17.1,17.24,#N/A,#N/A,#N/A,7336.4286,-206.4286,5848,1282,7274.2857,7617.1429,-417.1429,#N/A
2025/6/12,7170,#N/A,4.113,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/11,7150,#N/A,3.898,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/10,7150,#N/A,3.973,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/9,7120,#N/A,3.863,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/8,#N/A,#N/A,3.863,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/7,#N/A,#N/A,3.953,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/6,7130,#N/A,3.953,#N/A,3.765,18.47,16.78,#N/A,#N/A,#N/A,7334.2857,-308.5714,5848,1177.7143,7345.7143,7414.5714,-257.4286,#N/A
2025/6/5,7120,#N/A,3.827,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/4,7130,#N/A,3.758,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/3,7130,#N/A,3.809,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/2,#N/A,#N/A,3.704,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/6/1,#N/A,#N/A,3.711,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/31,#N/A,127.385,3.711,14.874,#N/A,#N/A,#N/A,161.6684,374659987,31825518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-331.9355
2025/5/30,7130,#N/A,3.645,#N/A,4.275,16.84,17.01,#N/A,#N/A,#N/A,7587.1429,-470,5830,1287.1429,7410,7385.1429,-6.5714,#N/A
2025/5/29,7100,#N/A,3.855,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/28,7100,#N/A,3.786,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/27,7200,#N/A,3.628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/26,7250,#N/A,3.628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/25,#N/A,#N/A,3.756,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/24,#N/A,#N/A,3.756,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/23,7280,#N/A,3.746,#N/A,3.786,17.24,16.82,#N/A,#N/A,#N/A,7844.2857,-490,5836,1518.2857,7495.7143,7453.4286,53.7143,#N/A
2025/5/22,7350,#N/A,3.813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/21,7450,#N/A,3.742,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/20,7400,#N/A,3.852,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/19,7400,#N/A,4.063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/18,#N/A,#N/A,4.047,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/17,#N/A,#N/A,4.137,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/16,7420,#N/A,4.137,#N/A,3.039,20.56,16.89,#N/A,#N/A,#N/A,7872.1429,-612.1429,6004.5714,1255.4286,7652.8571,7431.4286,-95.7143,#N/A
2025/5/15,7450,#N/A,4.231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/14,7350,#N/A,4.231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/13,7280,#N/A,4.167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/12,7250,#N/A,4.167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/11,#N/A,#N/A,4.256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/10,#N/A,#N/A,4.256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/9,7250,#N/A,4.336,#N/A,2.229,20.74,16.25,#N/A,#N/A,#N/A,7998.5714,-724.2857,6150.5714,1123.7143,7731.4286,7182.5714,231.7143,#N/A
2025/5/8,7300,#N/A,4.346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/7,7320,#N/A,4.474,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/6,7390,#N/A,4.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/5,#N/A,#N/A,4.696,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/4,#N/A,#N/A,4.605,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/3,#N/A,#N/A,4.616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/5/2,#N/A,#N/A,4.621,#N/A,2.352,12.4,15.92,#N/A,#N/A,#N/A,8114.2857,-772.8571,6182,1159.4286,7760,7504.8571,-54.8571,#N/A
2025/5/1,#N/A,#N/A,4.481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/30,7400,132.049,4.579,14.769,#N/A,#N/A,#N/A,176.78,467959373,20649002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-267
2025/4/29,7400,#N/A,4.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/28,7400,#N/A,4.571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/27,7420,#N/A,4.538,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/26,#N/A,#N/A,4.552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/25,7400,#N/A,4.571,#N/A,3.426,16.61,15.82,#N/A,#N/A,#N/A,8137.8571,-710.7143,6195,1232.1429,7760,7684,-155.4286,#N/A
2025/4/24,7450,#N/A,4.558,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/23,7440,#N/A,4.558,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/22,7480,#N/A,4.589,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/21,7500,#N/A,4.315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/20,#N/A,#N/A,4.317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/19,#N/A,#N/A,4.316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/18,7500,#N/A,4.381,#N/A,4.272,17.15,15.79,#N/A,#N/A,#N/A,8099.2857,-643.5714,6215,1240.7143,7760,7540.7143,30.7143,#N/A
2025/4/17,7520,#N/A,4.266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/16,7550,#N/A,4.258,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/15,7570,#N/A,4.166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/14,7570,#N/A,4.299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/13,#N/A,#N/A,4.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/12,#N/A,#N/A,4.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/11,7540,#N/A,4.23,#N/A,3.576,16.87,14.97,#N/A,#N/A,#N/A,8217.1429,-601.4286,6191.8571,1423.8571,7760,7487,284.4286,#N/A
2025/4/10,7550,#N/A,4.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/9,7550,#N/A,4.221,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/8,7700,#N/A,4.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/7,7700,#N/A,4.494,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/6,#N/A,#N/A,4.504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/5,#N/A,#N/A,4.508,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/4,#N/A,#N/A,4.508,#N/A,3.645,14,15.09,#N/A,#N/A,#N/A,8362.8571,-590,6118.4286,1654.4286,7760,8180.4286,-251.8571,#N/A
2025/4/3,7820,#N/A,4.411,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/2,7820,#N/A,4.405,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/4/1,7820,#N/A,4.314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025/3/31,7840,129.61,4.41,9.201,#N/A,#N/A,#N/A,167.1165,393981210,18916088,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-85.4839
2025/3/30,#N/A,#N/A,4.29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
