ID,期货代码,日期,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量
40,L.DCE,2019-03-05,8745.0,8770.0,8715.0,8720,8730,219242,377610
41,L.DCE,2019-03-06,8700.0,8790.0,8700.0,8785,8750,225526,380286
42,L.DCE,2019-03-07,8780.0,8795.0,8705.0,8710,8735,198338,366078
43,L.DCE,2019-03-08,8690.0,8700.0,8640.0,8650,8660,193738,365738
44,L.DCE,2019-03-11,8655.0,8690.0,8605.0,8655,8645,209130,337608
45,L.DCE,2019-03-12,8680.0,8725.0,8660.0,8680,8695,161552,332312
46,L.DCE,2019-03-13,8685.0,8745.0,8665.0,8680,8695,188048,332654
47,L.DCE,2019-03-14,8705.0,8720.0,8600.0,8615,8655,203124,343574
48,L.DCE,2019-03-15,8600.0,8630.0,8490.0,8505,8560,284918,348410
49,L.DCE,2019-03-18,8510.0,8520.0,8300.0,8325,8390,382828,399312
50,L.DCE,2019-03-19,8335.0,8390.0,8320.0,8370,8355,195460,384786
51,L.DCE,2019-03-20,8375.0,8400.0,8345.0,8360,8375,146346,373700
52,L.DCE,2019-03-21,8400.0,8450.0,8380.0,8405,8410,171602,350262
53,L.DCE,2019-03-22,8410.0,8470.0,8380.0,8430,8415,153438,347666
54,L.DCE,2019-03-25,8380.0,8445.0,8350.0,8425,8405,181404,338252
55,L.DCE,2019-03-26,8440.0,8450.0,8375.0,8385,8405,126910,335776
56,L.DCE,2019-03-27,8395.0,8435.0,8375.0,8405,8405,146256,329534
57,L.DCE,2019-03-28,8390.0,8455.0,8295.0,8310,8370,269866,330556
58,L.DCE,2019-03-29,8315.0,8425.0,8275.0,8365,8360,244872,301874
59,L.DCE,2019-04-01,8225.0,8290.0,8155.0,8290,8230,139442,324532
60,L.DCE,2019-04-02,8285.0,8345.0,8270.0,8335,8315,141760,335352
61,L.DCE,2019-04-03,8320.0,8425.0,8300.0,8375,8380,209138,360776
62,L.DCE,2019-04-04,8375.0,8405.0,8330.0,8400,8365,192710,378912
63,L.DCE,2019-04-08,8450.0,8595.0,8435.0,8535,8515,371654,389568
64,L.DCE,2019-04-09,8535.0,8565.0,8490.0,8510,8520,308948,412738
65,L.DCE,2019-04-10,8500.0,8555.0,8490.0,8535,8525,207152,417268
66,L.DCE,2019-04-11,8535.0,8555.0,8505.0,8550,8530,226022,425986
67,L.DCE,2019-04-12,8545.0,8580.0,8445.0,8545,8520,350420,416966
68,L.DCE,2019-04-15,8560.0,8580.0,8480.0,8500,8520,268876,427012
69,L.DCE,2019-04-16,8490.0,8525.0,8445.0,8480,8485,255172,431410
70,L.DCE,2019-04-17,8480.0,8510.0,8440.0,8470,8475,248236,439452
71,L.DCE,2019-04-18,8470.0,8475.0,8330.0,8330,8405,378560,475542
72,L.DCE,2019-04-19,8330.0,8355.0,8285.0,8330,8325,267230,488014
73,L.DCE,2019-04-22,8345.0,8375.0,8285.0,8295,8330,359248,505924
74,L.DCE,2019-04-23,8290.0,8320.0,8260.0,8310,8295,257296,504404
75,L.DCE,2019-04-24,8305.0,8315.0,8260.0,8265,8285,353216,513420
76,L.DCE,2019-04-25,8270.0,8315.0,8255.0,8295,8280,289240,491208
77,L.DCE,2019-04-26,8285.0,8330.0,8275.0,8290,8300,323458,474684
78,L.DCE,2019-04-29,8280.0,8345.0,8255.0,8285,8290,234262,467324
79,L.DCE,2019-04-30,8295.0,8330.0,8270.0,8305,8295,202252,467070
80,L.DCE,2019-05-06,8220.0,8285.0,8205.0,8235,8240,263104,473878
81,L.DCE,2019-05-07,8240.0,8300.0,8230.0,8265,8260,329454,478206
82,L.DCE,2019-05-08,8260.0,8265.0,8120.0,8165,8180,493888,551624
83,L.DCE,2019-05-09,8160.0,8175.0,7970.0,8000,8085,640254,631718
84,L.DCE,2019-05-10,7990.0,8105.0,7955.0,8035,8030,600432,614086
85,L.DCE,2019-05-13,8035.0,8045.0,7850.0,7855,7920,553448,663898
86,L.DCE,2019-05-14,7850.0,7885.0,7650.0,7695,7765,818300,669328
87,L.DCE,2019-05-15,7690.0,7790.0,7680.0,7735,7730,479632,681306
88,L.DCE,2019-05-16,7720.0,7845.0,7715.0,7800,7785,575180,684980
89,L.DCE,2019-05-17,7800.0,7860.0,7740.0,7845,7795,608480,654912
90,L.DCE,2019-05-20,7860.0,7965.0,7855.0,7940,7910,625410,619968
91,L.DCE,2019-05-21,7940.0,8050.0,7915.0,8045,7980,387612,607424
92,L.DCE,2019-05-22,8040.0,8055.0,7860.0,7905,7940,607972,629194
93,L.DCE,2019-05-23,7890.0,7915.0,7800.0,7810,7850,397556,641544
94,L.DCE,2019-05-24,7800.0,7805.0,7695.0,7760,7750,521246,664466
95,L.DCE,2019-05-27,7760.0,7815.0,7715.0,7765,7765,400208,653638
96,L.DCE,2019-05-28,7775.0,7900.0,7735.0,7890,7820,407710,640448
97,L.DCE,2019-05-29,7890.0,7970.0,7865.0,7900,7915,394502,629978
98,L.DCE,2019-05-30,7855.0,7920.0,7780.0,7795,7850,482460,660122
99,L.DCE,2019-05-31,7785.0,7850.0,7780.0,7790,7805,306878,656166
100,L.DCE,2019-06-03,7745.0,7775.0,7615.0,7665,7685,683094,665456
101,L.DCE,2019-06-04,7695.0,7740.0,7575.0,7645,7630,499400,668478
102,L.DCE,2019-06-05,7640.0,7665.0,7495.0,7510,7570,566046,742830
103,L.DCE,2019-06-06,7500.0,7615.0,7380.0,7585,7490,996572,700100
104,L.DCE,2019-06-10,7675.0,7705.0,7560.0,7565,7610,422358,694134
105,L.DCE,2019-06-11,7550.0,7660.0,7510.0,7605,7585,520026,686650
106,L.DCE,2019-06-12,7605.0,7620.0,7505.0,7510,7560,439362,711658
107,L.DCE,2019-06-13,7500.0,7605.0,7480.0,7585,7560,435666,724794
108,L.DCE,2019-06-14,7590.0,7610.0,7495.0,7525,7550,412000,734252
109,L.DCE,2019-06-17,7525.0,7595.0,7500.0,7510,7545,364758,741950
110,L.DCE,2019-06-18,7505.0,7575.0,7485.0,7560,7530,390380,717240
111,L.DCE,2019-06-19,7575.0,7695.0,7545.0,7645,7630,524752,703780
112,L.DCE,2019-06-20,7640.0,7780.0,7620.0,7775,7700,531812,669818
113,L.DCE,2019-06-21,7775.0,7800.0,7680.0,7740,7740,507906,652322
114,L.DCE,2019-06-24,7740.0,7860.0,7725.0,7835,7800,428688,655146
115,L.DCE,2019-06-25,7845.0,7940.0,7805.0,7845,7870,573412,645912
116,L.DCE,2019-06-26,7850.0,7925.0,7790.0,7925,7865,457924,655992
117,L.DCE,2019-06-27,7925.0,7975.0,7805.0,7845,7895,598386,647306
118,L.DCE,2019-06-28,7835.0,7885.0,7770.0,7830,7825,447940,651914
119,L.DCE,2019-07-01,7825.0,7950.0,7815.0,7905,7880,552758,673290
120,L.DCE,2019-07-02,7910.0,8145.0,7795.0,8065,7940,1154070,660342
121,L.DCE,2019-07-03,8060.0,8095.0,7920.0,8035,8005,1013218,628926
122,L.DCE,2019-07-04,8040.0,8120.0,7915.0,8025,8045,1094406,612026
123,L.DCE,2019-07-05,8025.0,8130.0,7985.0,8080,8060,691788,588928
124,L.DCE,2019-07-08,8080.0,8200.0,8055.0,8110,8120,846998,579618
125,L.DCE,2019-07-09,8100.0,8160.0,7980.0,8005,8065,761666,598472
126,L.DCE,2019-07-10,8010.0,8025.0,7875.0,7990,7950,785472,593296
127,L.DCE,2019-07-11,8010.0,8030.0,7900.0,7915,7945,722682,615028
128,L.DCE,2019-07-12,7905.0,7910.0,7750.0,7765,7835,731896,630456
129,L.DCE,2019-07-15,7765.0,7885.0,7755.0,7850,7820,536466,608136
130,L.DCE,2019-07-16,7845.0,7880.0,7755.0,7770,7810,458608,615160
131,L.DCE,2019-07-17,7765.0,7850.0,7710.0,7790,7780,645118,613768
132,L.DCE,2019-07-18,7790.0,7860.0,7755.0,7810,7810,648704,610144
133,L.DCE,2019-07-19,7815.0,7845.0,7690.0,7820,7775,731662,593842
134,L.DCE,2019-07-22,7820.0,7880.0,7700.0,7720,7795,734608,594218
135,L.DCE,2019-07-23,7730.0,7830.0,7715.0,7745,7765,587370,574944
136,L.DCE,2019-07-24,7740.0,7755.0,7635.0,7650,7680,697510,567864
137,L.DCE,2019-07-25,7650.0,7680.0,7555.0,7565,7615,526172,585406
138,L.DCE,2019-07-26,7585.0,7690.0,7585.0,7635,7630,521668,535996
139,L.DCE,2019-07-29,7655.0,7685.0,7610.0,7655,7650,348124,523928
140,L.DCE,2019-07-30,7655.0,7765.0,7655.0,7725,7715,457570,494648
141,L.DCE,2019-07-31,7725.0,7745.0,7630.0,7635,7695,396014,477538
142,L.DCE,2019-08-01,7560.0,7630.0,7555.0,7610,7595,143652,488308
143,L.DCE,2019-08-02,7600.0,7630.0,7490.0,7520,7545,231162,511480
144,L.DCE,2019-08-05,7515.0,7530.0,7425.0,7430,7460,248296,523486
145,L.DCE,2019-08-06,7440.0,7450.0,7380.0,7410,7415,235378,550328
146,L.DCE,2019-08-07,7415.0,7450.0,7400.0,7430,7425,167126,559806
147,L.DCE,2019-08-08,7415.0,7480.0,7400.0,7450,7435,240466,572158
148,L.DCE,2019-08-09,7460.0,7575.0,7435.0,7560,7505,325482,575656
149,L.DCE,2019-08-12,7560.0,7640.0,7560.0,7580,7595,461504,583974
150,L.DCE,2019-08-13,7580.0,7615.0,7565.0,7585,7585,283460,600798
151,L.DCE,2019-08-14,7580.0,7650.0,7495.0,7515,7575,814050,645934
152,L.DCE,2019-08-15,7510.0,7535.0,7460.0,7505,7490,409056,652496
153,L.DCE,2019-08-16,7500.0,7505.0,7420.0,7430,7465,407204,688406
154,L.DCE,2019-08-19,7435.0,7475.0,7425.0,7455,7445,336594,708236
155,L.DCE,2019-08-20,7460.0,7530.0,7440.0,7465,7485,474104,704446
156,L.DCE,2019-08-21,7455.0,7470.0,7370.0,7400,7405,539366,736982
157,L.DCE,2019-08-22,7415.0,7415.0,7305.0,7320,7350,556806,817920
158,L.DCE,2019-08-23,7330.0,7335.0,7225.0,7265,7280,695132,836242
159,L.DCE,2019-08-26,7245.0,7320.0,7180.0,7295,7265,565064,807084
160,L.DCE,2019-08-27,7310.0,7330.0,7220.0,7225,7265,383360,847240
161,L.DCE,2019-08-28,7245.0,7270.0,7175.0,7190,7210,592508,915272
162,L.DCE,2019-08-29,7190.0,7245.0,7035.0,7055,7140,800556,1011098
163,L.DCE,2019-08-30,7080.0,7140.0,7055.0,7135,7100,627158,974928
164,L.DCE,2019-09-02,7140.0,7185.0,7095.0,7185,7145,686764,959554
165,L.DCE,2019-09-03,7175.0,7260.0,7150.0,7170,7195,642238,948088
166,L.DCE,2019-09-04,7165.0,7275.0,7155.0,7255,7220,510904,904760
167,L.DCE,2019-09-05,7265.0,7300.0,7230.0,7240,7270,527644,900580
168,L.DCE,2019-09-06,7250.0,7290.0,7165.0,7195,7225,542892,935634
169,L.DCE,2019-09-09,7225.0,7350.0,7200.0,7350,7265,624878,871684
170,L.DCE,2019-09-10,7350.0,7350.0,7265.0,7290,7300,491368,885968
171,L.DCE,2019-09-11,7295.0,7325.0,7270.0,7310,7295,378282,858026
172,L.DCE,2019-09-12,7310.0,7350.0,7255.0,7290,7300,509502,827932
173,L.DCE,2019-09-16,7495.0,7670.0,7390.0,7630,7530,1107576,706832
174,L.DCE,2019-09-17,7670.0,7830.0,7655.0,7830,7785,1459750,738720
175,L.DCE,2019-09-18,7895.0,7900.0,7550.0,7675,7690,1743910,653156
176,L.DCE,2019-09-19,7675.0,7845.0,7650.0,7690,7740,1548900,712508
177,L.DCE,2019-09-20,7740.0,7795.0,7630.0,7640,7715,1141660,715144
178,L.DCE,2019-09-23,7650.0,7745.0,7600.0,7630,7660,889754,715588
179,L.DCE,2019-09-24,7620.0,7665.0,7565.0,7625,7605,686232,721238
180,L.DCE,2019-09-25,7625.0,7655.0,7560.0,7575,7605,702922,700302
181,L.DCE,2019-09-26,7555.0,7600.0,7475.0,7530,7540,761212,653952
182,L.DCE,2019-09-27,7530.0,7540.0,7425.0,7470,7485,385668,620894
183,L.DCE,2019-09-30,7460.0,7545.0,7440.0,7535,7495,407002,606564
184,L.DCE,2019-10-08,7495.0,7535.0,7345.0,7410,7405,481930,607572
185,L.DCE,2019-10-09,7385.0,7480.0,7370.0,7390,7405,391476,624678
186,L.DCE,2019-10-10,7395.0,7435.0,7355.0,7385,7390,423294,632140
187,L.DCE,2019-10-11,7400.0,7475.0,7365.0,7430,7415,592012,630372
188,L.DCE,2019-10-14,7435.0,7575.0,7410.0,7520,7500,698494,634368
189,L.DCE,2019-10-15,7490.0,7510.0,7415.0,7450,7465,399880,628946
190,L.DCE,2019-10-16,7465.0,7485.0,7305.0,7310,7405,553960,644664
191,L.DCE,2019-10-17,7310.0,7325.0,7245.0,7295,7285,597360,652262
192,L.DCE,2019-10-18,7295.0,7360.0,7280.0,7340,7315,391524,630200
193,L.DCE,2019-10-21,7345.0,7350.0,7215.0,7255,7275,456538,645320
194,L.DCE,2019-10-22,7235.0,7275.0,7190.0,7260,7240,440284,670152
195,L.DCE,2019-10-23,7285.0,7345.0,7265.0,7320,7315,424466,647594
196,L.DCE,2019-10-24,7310.0,7395.0,7300.0,7345,7345,420230,624676
197,L.DCE,2019-10-25,7345.0,7375.0,7295.0,7305,7335,324674,623422
198,L.DCE,2019-10-28,7305.0,7340.0,7270.0,7305,7300,371634,620114
199,L.DCE,2019-10-29,7305.0,7325.0,7255.0,7270,7285,305662,615554
200,L.DCE,2019-10-30,7260.0,7335.0,7255.0,7270,7295,388462,619888
201,L.DCE,2019-10-31,7270.0,7295.0,7250.0,7290,7275,280792,610086
202,L.DCE,2019-11-01,7280.0,7285.0,7175.0,7255,7225,542810,629772
203,L.DCE,2019-11-04,7255.0,7315.0,7210.0,7290,7255,397404,642392
204,L.DCE,2019-11-05,7315.0,7345.0,7260.0,7260,7290,459328,618858
205,L.DCE,2019-11-06,7280.0,7320.0,7230.0,7235,7270,378974,631316
206,L.DCE,2019-11-07,7235.0,7280.0,7220.0,7255,7250,339466,623152
207,L.DCE,2019-11-08,7270.0,7295.0,7185.0,7200,7235,508508,630994
208,L.DCE,2019-11-11,7190.0,7205.0,7140.0,7165,7165,460000,596040
209,L.DCE,2019-11-12,7155.0,7190.0,7140.0,7175,7160,313982,595186
210,L.DCE,2019-11-13,7180.0,7225.0,7105.0,7145,7155,491848,621210
211,L.DCE,2019-11-14,7130.0,7150.0,7010.0,7085,7075,607922,631628
212,L.DCE,2019-11-15,7095.0,7120.0,7050.0,7075,7085,422352,581648
213,L.DCE,2019-11-18,7070.0,7130.0,7035.0,7090,7085,338740,565308
214,L.DCE,2019-11-19,7085.0,7125.0,7065.0,7080,7095,317722,548160
215,L.DCE,2019-11-20,7080.0,7105.0,7050.0,7100,7080,299656,535694
216,L.DCE,2019-11-21,7110.0,7200.0,7080.0,7180,7130,546422,507840
217,L.DCE,2019-11-22,7195.0,7240.0,7155.0,7170,7195,390870,471228
218,L.DCE,2019-11-25,7170.0,7250.0,7170.0,7225,7215,362352,459294
219,L.DCE,2019-11-26,7225.0,7250.0,7200.0,7210,7220,305640,439832
220,L.DCE,2019-11-27,7210.0,7245.0,7180.0,7190,7220,322292,433272
221,L.DCE,2019-11-28,7205.0,7235.0,7170.0,7220,7205,291266,430694
222,L.DCE,2019-11-29,7225.0,7310.0,7210.0,7305,7265,407470,438324
223,L.DCE,2019-12-02,7290.0,7340.0,7250.0,7330,7290,333898,426214
224,L.DCE,2019-12-03,7340.0,7365.0,7290.0,7290,7320,315202,405784
225,L.DCE,2019-12-04,7235.0,7255.0,7200.0,7225,7230,166244,460122
226,L.DCE,2019-12-05,7230.0,7250.0,7205.0,7210,7225,147980,475604
227,L.DCE,2019-12-06,7220.0,7275.0,7215.0,7270,7250,224970,495852
228,L.DCE,2019-12-09,7270.0,7375.0,7260.0,7275,7320,713842,585868
229,L.DCE,2019-12-10,7265.0,7300.0,7225.0,7245,7265,418018,597566
230,L.DCE,2019-12-11,7235.0,7255.0,7170.0,7175,7215,444540,622218
231,L.DCE,2019-12-12,7175.0,7235.0,7165.0,7210,7200,418034,648152
232,L.DCE,2019-12-13,7210.0,7280.0,7195.0,7275,7245,493532,661440
233,L.DCE,2019-12-16,7275.0,7330.0,7245.0,7290,7295,616582,674506
234,L.DCE,2019-12-17,7290.0,7330.0,7270.0,7275,7295,448566,684528
235,L.DCE,2019-12-18,7285.0,7325.0,7235.0,7245,7275,445736,703964
236,L.DCE,2019-12-19,7240.0,7275.0,7205.0,7270,7245,440720,692506
237,L.DCE,2019-12-20,7260.0,7370.0,7255.0,7330,7305,584578,725956
238,L.DCE,2019-12-23,7330.0,7355.0,7295.0,7335,7325,436586,736822
239,L.DCE,2019-12-24,7340.0,7360.0,7290.0,7300,7315,407520,709332
240,L.DCE,2019-12-25,7300.0,7360.0,7290.0,7350,7330,443344,755098
241,L.DCE,2019-12-26,7350.0,7395.0,7335.0,7380,7365,379464,763304
242,L.DCE,2019-12-27,7380.0,7420.0,7365.0,7375,7390,460198,761602
243,L.DCE,2019-12-30,7375.0,7445.0,7370.0,7405,7410,420762,746990
244,L.DCE,2019-12-31,7405.0,7415.0,7305.0,7310,7345,533090,732288
245,L.DCE,2020-01-02,7325.0,7335.0,7300.0,7310,7315,139007,371698
246,L.DCE,2020-01-03,7310.0,7360.0,7270.0,7350,7315,272824,363490
247,L.DCE,2020-01-06,7360.0,7470.0,7330.0,7440,7405,356126,354915
248,L.DCE,2020-01-07,7435.0,7445.0,7380.0,7400,7405,222297,352846
249,L.DCE,2020-01-08,7405.0,7570.0,7385.0,7480,7465,368089,341983
250,L.DCE,2020-01-09,7455.0,7500.0,7370.0,7380,7420,298763,328714
251,L.DCE,2020-01-10,7380.0,7450.0,7360.0,7450,7405,160422,332794
252,L.DCE,2020-01-13,7455.0,7505.0,7410.0,7485,7460,272202,337563
253,L.DCE,2020-01-14,7475.0,7490.0,7415.0,7420,7440,176440,331991
254,L.DCE,2020-01-15,7420.0,7435.0,7345.0,7365,7375,202148,328233
255,L.DCE,2020-01-16,7375.0,7390.0,7290.0,7295,7330,205147,338881
256,L.DCE,2020-01-17,7295.0,7330.0,7290.0,7305,7305,133380,336208
257,L.DCE,2020-01-20,7305.0,7310.0,7245.0,7260,7270,188290,332199
258,L.DCE,2020-01-21,7260.0,7280.0,7215.0,7230,7245,158580,325820
259,L.DCE,2020-01-22,7220.0,7235.0,7165.0,7185,7195,228001,311328
260,L.DCE,2020-01-23,7180.0,7195.0,7135.0,7155,7165,162071,299832
261,L.DCE,2020-02-03,6740.0,6800.0,6740.0,6740,6745,136022,292865
262,L.DCE,2020-02-04,6500.0,6830.0,6500.0,6805,6730,231254,280182
263,L.DCE,2020-02-05,6800.0,6890.0,6795.0,6830,6845,178942,299352
264,L.DCE,2020-02-06,6845.0,6860.0,6780.0,6845,6825,122158,300783
265,L.DCE,2020-02-07,6830.0,6835.0,6795.0,6810,6815,95057,305131
266,L.DCE,2020-02-10,6800.0,6845.0,6785.0,6825,6820,93216,307698
267,L.DCE,2020-02-11,6820.0,6850.0,6810.0,6820,6825,112729,310328
268,L.DCE,2020-02-12,6815.0,6850.0,6780.0,6820,6815,114397,309470
269,L.DCE,2020-02-13,6825.0,6840.0,6755.0,6805,6795,131907,313235
270,L.DCE,2020-02-14,6815.0,6825.0,6770.0,6820,6790,110799,315100
271,L.DCE,2020-02-17,6825.0,6865.0,6805.0,6865,6835,144418,315853
272,L.DCE,2020-02-18,6860.0,6960.0,6855.0,6885,6905,218339,311047
273,L.DCE,2020-02-19,6885.0,6975.0,6875.0,6960,6925,133440,308348
274,L.DCE,2020-02-20,6980.0,7040.0,6965.0,7035,7005,173794,305623
275,L.DCE,2020-02-21,7035.0,7045.0,6980.0,7000,7010,124609,304996
276,L.DCE,2020-02-24,6955.0,6980.0,6900.0,6935,6940,148545,300009
277,L.DCE,2020-02-25,6915.0,6960.0,6860.0,6955,6900,137908,299848
278,L.DCE,2020-02-26,6930.0,6935.0,6890.0,6920,6910,131593,298621
279,L.DCE,2020-02-27,6900.0,6910.0,6845.0,6890,6875,140869,302017
280,L.DCE,2020-02-28,6835.0,6845.0,6720.0,6725,6785,267257,297082
281,L.DCE,2020-03-02,6725.0,6885.0,6705.0,6875,6820,205232,290238
282,L.DCE,2020-03-03,6920.0,6985.0,6890.0,6935,6935,184800,289932
283,L.DCE,2020-03-04,6935.0,6960.0,6910.0,6940,6930,150360,287933
284,L.DCE,2020-03-05,6940.0,6985.0,6915.0,6945,6950,148171,289309
285,L.DCE,2020-03-06,6925.0,6925.0,6860.0,6900,6890,189536,279085
286,L.DCE,2020-03-09,6615.0,6680.0,6615.0,6615,6625,133408,284345
287,L.DCE,2020-03-10,6530.0,6800.0,6530.0,6755,6710,326890,246933
288,L.DCE,2020-03-11,6790.0,6825.0,6705.0,6720,6765,177484,245332
289,L.DCE,2020-03-12,6690.0,6715.0,6630.0,6675,6675,218381,241641
290,L.DCE,2020-03-13,6630.0,6690.0,6560.0,6665,6610,289834,233420
291,L.DCE,2020-03-16,6630.0,6670.0,6560.0,6565,6625,197339,235193
292,L.DCE,2020-03-17,6535.0,6575.0,6460.0,6515,6505,261636,237119
293,L.DCE,2020-03-18,6470.0,6540.0,6380.0,6385,6465,210517,235822
294,L.DCE,2020-03-19,6325.0,6365.0,6210.0,6340,6255,248430,205641
295,L.DCE,2020-03-20,6400.0,6465.0,6335.0,6380,6390,200789,194106
296,L.DCE,2020-03-23,6205.0,6290.0,6160.0,6270,6250,197802,185164
297,L.DCE,2020-03-24,6330.0,6330.0,6065.0,6185,6195,310925,168342
298,L.DCE,2020-03-25,6305.0,6325.0,6155.0,6185,6215,134893,200199
299,L.DCE,2020-03-26,6185.0,6185.0,5880.0,5910,5980,240670,236548
300,L.DCE,2020-03-27,5910.0,5910.0,5650.0,5735,5765,275772,259880
301,L.DCE,2020-03-30,5585.0,5600.0,5420.0,5420,5455,345210,311616
302,L.DCE,2020-03-31,5445.0,5630.0,5410.0,5505,5510,433034,318361
303,L.DCE,2020-04-01,5480.0,5620.0,5415.0,5565,5515,470067,325023
304,L.DCE,2020-04-02,5575.0,5845.0,5555.0,5805,5695,597898,322491
305,L.DCE,2020-04-03,5850.0,5915.0,5765.0,5905,5830,496266,307130
306,L.DCE,2020-04-07,5995.0,6150.0,5970.0,6115,6060,463375,321672
307,L.DCE,2020-04-08,6065.0,6100.0,5910.0,5920,6005,615349,364314
308,L.DCE,2020-04-09,5990.0,6070.0,5925.0,6045,6000,601372,365312
309,L.DCE,2020-04-10,5900.0,6305.0,5870.0,6260,6130,811355,346233
310,L.DCE,2020-04-13,6400.0,6555.0,6260.0,6330,6395,1108658,372534
311,L.DCE,2020-04-14,6350.0,6375.0,6105.0,6180,6215,876707,359620
312,L.DCE,2020-04-15,6090.0,6260.0,6045.0,6205,6185,623747,356391
313,L.DCE,2020-04-16,6205.0,6250.0,6120.0,6225,6190,555530,346010
314,L.DCE,2020-04-17,6255.0,6365.0,6125.0,6150,6240,586866,355495
315,L.DCE,2020-04-20,6105.0,6140.0,6025.0,6095,6080,435087,364010
316,L.DCE,2020-04-21,5980.0,6055.0,5730.0,5865,5870,818647,378551
317,L.DCE,2020-04-22,5680.0,5810.0,5640.0,5730,5715,779041,358788
318,L.DCE,2020-04-23,5800.0,6110.0,5800.0,6100,5960,669397,351940
319,L.DCE,2020-04-24,6080.0,6175.0,6020.0,6110,6090,560181,353346
320,L.DCE,2020-04-27,6085.0,6300.0,6070.0,6225,6200,651184,366881
321,L.DCE,2020-04-28,6160.0,6210.0,6110.0,6145,6160,452116,346682
322,L.DCE,2020-04-29,6200.0,6245.0,6055.0,6090,6110,393838,339300
323,L.DCE,2020-04-30,6150.0,6190.0,6020.0,6180,6110,423283,328375
324,L.DCE,2020-05-06,6330.0,6485.0,6260.0,6450,6370,422975,352872
325,L.DCE,2020-05-07,6400.0,6540.0,6335.0,6340,6450,552622,384828
326,L.DCE,2020-05-08,6400.0,6440.0,6300.0,6360,6360,471173,379205
327,L.DCE,2020-05-11,6360.0,6380.0,6215.0,6240,6300,399756,381787
328,L.DCE,2020-05-12,6230.0,6275.0,6185.0,6250,6230,297392,380547
329,L.DCE,2020-05-13,6275.0,6355.0,6170.0,6295,6260,431042,386751
330,L.DCE,2020-05-14,6295.0,6320.0,6230.0,6290,6275,255953,378952
331,L.DCE,2020-05-15,6295.0,6410.0,6270.0,6395,6335,282673,388007
